,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Completion Type,Sleeves,P&P,Frac Ports,Repeater Ports,CT,Year Drilled
0,Operator 1,Well 1,MBH,5114.0,30.0,141,99,10,0.0,16079.0,2006-01-01,141.518737672584,127.690116151655,110.009861932939,97.3518883775294,88.2752575060267,,47.0511495759384,-103.214580077877,,660.0,33.55,,,,,,,2006.0
1,Operator 2,Well 2,MBH,5181.0,,142,99,16,418000.0,7269.0,2005-01-01,197.764628533859,127.832566294105,99.1288625904011,83.6949375410914,72.0195047118124,,47.1113677476505,-103.225059299811,,660.0,27.62,,,,,,,2005.0
2,Operator 2,Well 3,MBH,4780.0,15.0,142,99,24,568407.0,8279.0,2006-10-10,52.0710059171598,44.3348674117905,36.9055445978523,31.7663817663818,28.5667324128863,OH,47.0970317622805,-103.160909749363,,660.0,11.19,OH,,,,,,2006.0
3,Operator 1,Well 4,MBH,10654.0,1.0,142,99,1,845000.0,9342.0,2007-01-01,136.752136752137,120.764847687925,99.1726934034626,86.675432829279,75.8820951128643,,47.1402477024565,-103.178390893757,,660.0,27.85,,,,,,,2007.0
4,Operator 2,Well 5,MBH,5209.0,1.0,142,99,35,297366.0,4523.0,2006-09-18,249.178172255095,227.580539119001,189.869603331142,163.163854189495,140.033968880123,OH,47.0808723418575,-103.181299509581,,660.0,50.88,OH,,,,,,2006.0
5,Operator 2,Well 6,MBH,14446.0,,142,98,32,538000.0,7628.0,2006-01-01,69.0335305719921,62.6999780845935,53.517422748192,47.7463656950836,43.0418584264738,,47.0681362547947,-103.118914508799,,660.0,16.7,,,,,,,2006.0
6,Operator 2,Well 7,MBH,10203.0,1.0,142,99,28,987000.0,19444.0,2005-01-01,260.650887573965,192.011834319527,155.993863686171,131.583753378625,116.283147052378,,47.0946601768377,-103.224409199215,,660.0,43.91,,,,,,,2005.0
7,Operator 1,Well 8,MBH,10758.0,1.0,141,98,9,75000.0,0.0,2006-01-01,57.4621959237344,40.0394477317554,33.4976988823143,29.3593396157499,26.7696690773614,,47.0391468690704,-103.116297346212,,660.0,10.68,,,,,,,2006.0
8,Operator 1,Well 9,MBH,10451.0,1.0,141,99,2,748000.0,10607.0,2007-01-01,125.575279421433,91.3762875301337,71.0826210826211,59.9386368617138,53.2708744247206,,47.0533459083162,-103.199282584494,,660.0,20.04,,,,,,,2007.0
9,Operator 1,Well 10,MBH,10626.0,1.0,142,99,2,0.0,26063.0,2006-01-01,194.148586456279,157.867630944554,132.243041858426,115.965373657681,105.119986850756,,47.1404510409445,-103.199176605827,,660.0,41.55,,,,,,,2006.0
10,Operator 3,Well 11,MBH,4393.0,1.0,142,100,1,401000.0,13180.0,2007-01-01,30.8678500986193,27.3723427569581,21.4442252903791,18.5623493315801,16.5488713565637,,47.1399575362093,-103.296982248943,,660.0,5.56,,,,,,,2007.0
11,Operator 2,Well 12,MBH,14832.0,1.0,142,99,27,0.0,0.0,2007-01-01,300.262984878369,269.197896120973,230.566513258821,207.093286580466,192.910365987289,,47.0824276674472,-103.203415825788,,660.0,70.39,,,,,,,2007.0
12,Operator 4,Well 13,MBH,11293.0,1.0,143,100,16,0.0,0.0,2006-01-01,28.4352399737015,22.5509533201841,19.071882533421,16.6849295054423,15.0887573964497,,47.2001251762264,-103.366599728758,,660.0,5.85,,,,,,,2006.0
