,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Completion Type,Year Drilled
35,Operator 4,Well 36,TFH,9270.0,27.0,141,100,2,1993110.0,35723.0,2012-07-24,99.6383957922419,86.2919132149901,64.66140696909929,53.0571992110454,45.701840894148596,Sleeves,47.0656460881206,-103.31995608842199,LINEAR GEL (HC),660.0,17.41,Sleeves,2012.0
36,Operator 2,Well 37,TFH,9658.0,30.0,142,99,29,2757927.0,57661.0,2012-07-19,85.8974358974359,78.90642121411351,65.8393600701293,58.2694133976185,52.728468113083494,P & P,47.088015124637096,-103.24470551716401,CROSSLINKED (HC),660.0,19.82,P & P,2012.0
40,Operator 4,Well 41,TFH,9225.0,30.0,140,100,13,2022180.0,31008.0,2011-12-21,899.3754109138721,653.802323033092,481.503396888012,398.860398860399,341.425597194828,Sleeves,46.947650717483796,-103.242583070704,CROSSLINKED (HC),660.0,127.42,Sleeves,2011.0
46,Operator 4,Well 47,TFH,9330.0,29.0,142,101,3,1895300.0,32926.0,2011-11-14,140.696909927679,96.09905763751921,75.0,65.0814522609394,58.689458689458704,Sleeves,47.1520147027625,-103.46712963371701,SLICKWATER (HC),660.0,21.52,Sleeves,2011.0
47,Operator 4,Well 48,TFH,9221.0,30.0,141,100,16,1808716.0,30715.0,2012-02-29,99.5069033530572,95.0580758273066,74.50142450142451,60.442691211921996,51.986083716852995,Sleeves,47.0364605913167,-103.362783627593,CROSSLINKED (HC),660.0,18.95,Sleeves,2012.0
48,Operator 6,Well 49,MBH,9986.0,27.0,144,98,3,2778518.0,61915.0,2012-05-28,325.476660092045,250.076703922858,211.472715318869,189.64862298195598,171.362042515889,Sleeves,47.327881570539596,-103.078961107309,LINEAR GEL (HC),660.0,64.09,Sleeves,2012.0
51,Operator 4,Well 52,TFH,9741.0,30.0,140,100,24,2357480.0,34778.0,2011-11-09,746.351084812623,543.76506684199,395.97852290160006,317.99254876178,266.168091168091,Sleeves,46.9204394644767,-103.243773334081,CROSSLINKED (HC),660.0,98.81,Sleeves,2011.0
59,Operator 4,Well 60,TFH,9064.0,29.0,140,100,16,1883897.0,31658.0,2012-03-29,266.962524654832,197.830374753452,152.79421433267598,124.724231134488,106.689677843524,Sleeves,46.9474104192484,-103.30707068411199,CROSSLINKED (HC),498.17644,40.86,Sleeves,2012.0
61,Operator 4,Well 62,TFH,10576.0,30.0,140,100,11,3741196.0,26754.0,2011-10-10,417.850098619329,333.826429980276,255.39119000657502,213.01775147929,184.100372561911,Sleeves,46.9490428202171,-103.259572946999,LINEAR GEL (HC),660.0,69.65,Sleeves,2011.0
70,Operator 1,Well 71,TFH,9746.0,30.0,141,98,35,3318932.0,69346.0,2012-11-08,284.61538461538504,186.806925268464,154.295419680035,138.037840601943,124.074074074074,P & P,46.9811565763834,-103.06655855312401,LINEAR GEL (HC),660.0,45.74,P & P,2012.0
71,Operator 4,Well 72,TFH,9461.0,40.0,142,101,18,2884595.0,77136.0,2014-02-10,80.50624589086131,75.19175980714441,72.96734604426909,69.18693841770761,63.546460661845295,P & P (cmt.),47.110786949095,-103.52195018394899,SLICKWATER (HC),660.0,22.78,P & P,2014.0
72,Operator 1,Well 73,TFH,9650.0,30.0,141,99,36,3197329.0,65249.0,2012-08-16,477.514792899408,430.440499671269,367.63094455402097,311.542114106217,272.326320403243,P & P,46.9811320817509,-103.1725537235,CROSSLINKED (HC),660.0,101.55,P & P,2012.0
76,Operator 7,Well 77,MBH,9406.0,21.0,143,98,29,1412074.0,51983.0,2012-10-23,76.85733070348459,68.3760683760684,63.532763532763504,55.39484257432979,49.6219592373439,OH,47.1787096359721,-103.13672163109399,SLICKWATER (HC),660.0,18.8,OH,2012.0
77,Operator 4,Well 78,TFH,9455.0,40.0,140,100,14,2942533.0,56508.0,2014-06-20,348.15910585141404,294.356782818321,234.352399737015,201.391628314705,176.408064869603,P & P (cmt.),46.947511768732205,-103.26484522102699,LINEAR GEL (HC),660.0,64.88,P & P,2014.0
78,Operator 7,Well 79,MBH,9023.0,21.0,143,98,20,1937003.0,57391.0,2012-02-13,71.20315581854041,65.735261889108,61.669953977646294,56.760902914749096,51.63269778654389,OH,47.184118245769504,-103.123546992144,CROSSLINKED,660.0,20.46,OH,2012.0
79,Operator 1,Well 80,TFH,9552.0,30.0,141,99,32,3166925.0,68383.0,2012-09-14,412.984878369494,336.017970633355,280.369274600044,235.68558696763802,206.02673679596802,P & P,46.9808509132319,-103.257258606443,LINEAR GEL (HC),660.0,71.03,P & P,2012.0
81,Operator 4,Well 82,TFH,9630.0,40.0,140,100,14,2959627.0,54656.0,2014-06-20,527.942143326759,328.10650887573996,255.36927460004398,210.67645554825,179.462524654832,P & P (cmt.),46.9473883886876,-103.26484522102699,LINEAR GEL (HC),660.0,66.43,P & P,2014.0
